"","EVT-24w","CTB-8w","EVT-8w","STB-8w","STR-8w"
"FOXA1",0.0480789481682396,-0.0938640764625996,-0.0938640764625996,-0.0938640764625996,0.0776433704096229
"FOXC1",0.124916302589235,0.302671439585547,-0.133723073068475,-0.207041470979108,-0.048889280806598
"FOXM1",-0.40047624832385,0.0379769846642735,0.0937712401385674,-0.405725669774282,0.0933318914320613
"FOXO1",0.903764134227917,-0.395553012595912,0.0360491291492528,-0.244928680098717,-0.147340417393861
"FOXO3",0.465321380269743,-0.0519439114374989,-0.000193009713102734,0.830322689496017,-0.22770989722801
"FOXO4",-0.192444891165974,0.936429618945802,-0.396853901038765,0.0820896548685264,-0.0377111387817035
"HMGA1",-1.03525596268534,0.672788852690204,-0.121070940981046,-1.48292756950929,0.321375986676406
"HNF1B",-0.0905263640940025,-0.158238044928716,0.0458234680715009,0.25284094497145,0.0259502951020374
"HSF1",-0.132728629393562,-0.190804411214494,0.170749440715981,-0.50696825601049,0.0493662052521903
"IRF2",0.225271261572101,0.0263468934308818,-0.111760076189357,0.0546849212736934,-0.00887323717939567
"IRF3",0.474780027673358,-0.247172388745821,0.469217405114605,0.0499213525073253,-0.430521355853731
"IRF4",-0.094290902074312,-0.094290902074312,-0.094290902074312,-0.094290902074312,0.119983185081217
"KLF1",-0.348769441885304,-0.327746918297019,-0.325297713242546,-0.348769441885304,0.554901379456431
"KLF15",-0.0764739956800709,-0.0764739956800709,-0.0764739956800709,0.169507549082298,0.0516424919850257
"KLF3",-0.0084366818076528,-0.238921606257855,-0.251635279081789,0.974884926946464,0.200345531264567
"KLF4",0.728758172993216,-0.143894041732532,-0.349493191275047,0.867989580264067,-0.0114718236309688
"KLF6",0.862149558540202,-0.876577704347925,0.375433828167917,0.23912863627349,-0.23992522772263
"MAX",0.521234283489245,-0.293641351532211,-0.00601275900342109,0.591031524364357,-0.11272645324662
"MBD2",0.73275585992805,-0.531671485624009,0.353076007349677,0.575695713171861,-0.362187714022332
"MECP2",0.254163917732774,-0.194129582936129,0.00243332246713802,0.533879674310845,-0.0629183585691268
"MEF2C",-0.213361154266649,0.0313716615596941,-0.464995297645438,-0.58525864651437,0.485614982116277
"MEF2D",0.144881752650074,-0.241224050021087,-0.0949128400940585,0.350106591655334,0.0911011045698929
"MITF",0.450416718809657,-0.168442543727372,-0.489103967293703,-0.274002485646025,0.325833378084102
"MYC",0.186177207758381,-0.328151458518493,-0.145165788873824,-0.942967950917175,0.289672282862965
"MYCN",0.413126162850962,-0.56437202145052,0.818346927786139,0.249385677116609,-0.564794890243856
"MYOD1",-0.10761903449156,-0.0872834654857996,-0.0317557252902633,-0.10761903449156,0.0871662205374781
"NFYA",0.0748992972183473,-0.101939064515285,0.0803162261431581,0.477172331308411,-0.0949257720534197
"NFYC",0.169925970583504,0.19871702539677,-0.0676723153253999,0.159020485891327,-0.109642784000398
"NRF1",0.0299549514259174,-0.194668740486938,0.0482554203996278,0.830877637071559,-0.0511727955913144
"PBX1",-0.247400072535865,0.86368326120159,-0.402385871307453,-0.193378609505493,0.0464061680322419
"PLAG1",0.269999012079046,0.0375238463033737,-0.000835730093724012,0.725616326961408,-0.186577843232709
"PRDM1",-0.207958284649959,0.00321557118291808,-0.313653816573589,0.0304531376364585,0.313016854026231
"RFX1",-0.0523743596631107,-0.234254244612555,0.282841619584653,0.386249309152038,-0.141432559845444
"RUNX2",-0.140980984024512,-0.167931810964522,-0.10112700095926,-0.209838021296621,0.223230940807508
"SMAD1",0.324569376170021,-0.158227544814847,-0.0901342576730641,-0.0472630636378465,0.0302604030859291
"SMAD2",0.345264301999817,-0.0166811336955982,0.111954408148288,0.680489369644376,-0.272700541335492
"SMAD3",1.43936865425793,-0.499068828314471,0.0838172615908583,-0.538207092566009,-0.296453922722073
"SMAD4",0.572212505442747,-0.336060690485302,0.116550911404543,0.37554628299739,-0.185148974305379
"SOX4",0.627225686607584,-0.663123618221595,0.860524538199929,-0.435320802314211,-0.557794841473767
"SP1",0.36052296887352,-0.12568562925964,-0.0768275941763857,1.09912644587226,-0.127505509917027
"SP2",0.381133270268379,-0.149517524931969,-0.0947301130694106,0.438282499504635,-0.0408538458339023
"SP3",0.411121525344995,-0.0784616189024187,0.137990858423377,0.520869989568324,-0.272487578930888
"SPI1",-0.454128924662501,-0.0247589422762922,-0.431475824817364,-0.457597024669952,0.554699640229074
"STAT1",0.813244125613343,-0.823925321774152,0.324546962033268,-0.650974139951061,-0.112226239376581
"STAT3",0.672906140310567,-0.512266346422478,0.0224464319895668,-0.0949629962025166,-0.021022396117479
"STAT4",1.02581989960213,-0.420086637557571,0.190364496489776,-0.328259934761074,-0.2911074256287
"TBP",0.225460753104277,-0.185455980565662,0.192019773770083,0.667631733292278,-0.218658964148859
"TFE3",0.0675458791556176,0.0631827184686778,-0.40340034414949,0.28791376792831,0.233441243291086
"TFEB",-0.403019621430888,0.379441282718109,-0.347121347876206,-0.0919952269201366,0.257158299663647
"USF1",0.0608661843571187,-0.122828657841539,0.168973958871876,-0.0947155534771976,-0.0899390645554002
"USF2",0.159777179675422,-0.326664444418954,-0.131491400020198,0.0645884212685102,0.181544428518852
"WT1",-0.150394919802304,-0.189316804494044,-0.101845766217122,-0.170066209733541,0.232178684997874
"ZFHX3",0.451772810479787,0.29647955675683,-0.250721471010175,-0.294669594465895,-0.0601627903340883
